eV,n,k
6,1.01,2.909
5.98,1.036,2.928
5.96,1.046,2.944
5.94,1.066,2.937
5.92,1.07,2.963
5.9,1.083,2.982
5.88,1.088,2.987
5.86,1.102,3.005
5.84,1.109,3.015
5.82,1.119,3.025
5.8,1.133,3.045
5.78,1.139,3.061
5.76,1.155,3.073
5.74,1.164,3.086
5.72,1.175,3.102
5.7,1.18,3.112
5.68,1.195,3.135
5.66,1.211,3.15
5.64,1.222,3.169
5.62,1.235,3.19
5.6,1.247,3.206
5.58,1.265,3.228
5.56,1.28,3.245
5.54,1.299,3.267
5.52,1.319,3.285
5.5,1.34,3.302
5.48,1.362,3.319
5.46,1.389,3.334
5.44,1.416,3.35
5.42,1.445,3.359
5.4,1.471,3.366
5.38,1.502,3.368
5.36,1.526,3.368
5.34,1.548,3.364
5.32,1.566,3.358
5.3,1.579,3.353
5.28,1.585,3.346
5.26,1.59,3.344
5.24,1.591,3.344
5.22,1.592,3.347
5.2,1.589,3.354
5.18,1.586,3.363
5.16,1.582,3.376
5.14,1.579,3.389
5.12,1.573,3.408
5.1,1.571,3.429
5.08,1.57,3.451
5.06,1.569,3.477
5.04,1.568,3.504
5.02,1.569,3.533
5,1.57,3.565
4.98,1.575,3.598
4.96,1.58,3.632
4.94,1.584,3.67
4.92,1.591,3.709
4.9,1.597,3.749
4.88,1.608,3.789
4.86,1.618,3.835
4.84,1.629,3.88
4.82,1.643,3.928
4.8,1.658,3.979
4.78,1.673,4.031
4.76,1.692,4.088
4.74,1.713,4.149
4.72,1.737,4.211
4.7,1.764,4.278
4.68,1.794,4.35
4.66,1.831,4.426
4.64,1.874,4.506
4.62,1.927,4.59
4.6,1.988,4.678
4.58,2.059,4.764
4.56,2.14,4.849
4.54,2.234,4.933
4.52,2.339,5.011
4.5,2.451,5.082
4.48,2.572,5.148
4.46,2.7,5.206
4.44,2.833,5.257
4.42,2.974,5.304
4.4,3.12,5.344
4.38,3.277,5.381
4.36,3.444,5.414
4.34,3.634,5.435
4.32,3.849,5.439
4.3,4.086,5.395
